name,link_url,image_url,unique_id,manufacturer_id
Pilot Sconce 2 Head,https://rbw.com/products/pilot-sconce-2-head/2m-pc25-27-10_triac_120v,no image available,PTS-2M-PC25-27-10_TRIAC_120V,1530
Print Flush Mount,https://rbw.com/products/print-flush-mount/b-cf-pc20-27-1_triac_120v,no image available,PRFM-B-CF-PC20-27-1_TRIAC_120V,1530
Print Pendant,https://rbw.com/products/print-pendant/cs-b-cf-pc20-27-1_triac_120v,no image available,PRP-CS-B-CF-PC20-27-1_TRIAC_120V,1530
Print Sconce,https://rbw.com/products/print-sconce/a-cf-pc20-27-1_triac_120v,no image available,PRS-A-CF-PC20-27-1_TRIAC_120V,1530
Queue Pendant Multi,https://rbw.com/products/queue-pendant-multi/132-ddif_ino-aa02-27-1_triac_120v,no image available,QP-132-DDIF_INO-AA02-27-1_TRIAC_120V,1530
Queue Pendant Single,https://rbw.com/products/queue-pendant-single/44-ddif_ino-aa01-27-1_triac_120v,no image available,QP-44-DDIF_INO-AA01-27-1_TRIAC_120V,1530
Queue Sconce,https://rbw.com/products/queue-sconce/24-aa04-27-1_triac_120v,no image available,QS-24-AA04-27-1_TRIAC_120V,1530
Radient Disc,https://rbw.com/products/radient-disc/m-wf01-pc20-27-1_triac_120v-ip20,no image available,RD-DS-M-WF01-PC20-27-1_TRIAC_120V-IP20,1530
Radient Square,https://rbw.com/products/radient-square/m-wf02-pc20-27-1_triac_120v-ip20,no image available,RD-SQ-M-WF02-PC20-27-1_TRIAC_120V-IP20,1530
Ripple Corded,https://rbw.com/products/ripple-corded/s21-aa01-27-cts_120v-ip20,https://rbw.imgix.net/products/ripple-corded/pdp/RP-C_S21_AA01_27_CTS_120V.jpg,RP-C-S21-AA01-27-CTS_120V-IP20,1530
Ripple Flush Mount,https://rbw.com/products/ripple-flush-mount/s24-aa01-27-10_triac_120v-ip65,https://rbw.imgix.net/products/ripple-flush-mount/pdp/RP-FM_S24_AA01_ON.jpg,RP-FM-S24-AA01-27-10_TRIAC_120V-IP65,1530
Vitis 1,https://rbw.com/products/vitis-1/iv-cb-aa01-27-1_triac_120v,no image available,VS-1-IV-CB-AA01-27-1_TRIAC_120V,1530
Vitis 3,https://rbw.com/products/vitis-3/iv-cb-aa01-27-1_triac_120v,no image available,VS-3-IV-CB-AA01-27-1_TRIAC_120V,1530
Vitis 5,https://rbw.com/products/vitis-5/iv-cb-aa01-27-1_triac_120v,no image available,VS-5-IV-CB-AA01-27-1_TRIAC_120V,1530
Vitis 7,https://rbw.com/products/vitis-7/iv-cb-aa01-27-1_triac_120v,no image available,VS-7-IV-CB-AA01-27-1_TRIAC_120V,1530
Witt 1,https://rbw.com/products/witt-1/pc26-27-1_triac_120v,no image available,RGW-1-PC26-27-1_TRIAC_120V,1530
Witt 2,https://rbw.com/products/witt-2/pc43-27-1_triac_120v,no image available,RGW-2-PC43-27-1_TRIAC_120V,1530
Witt 3,https://rbw.com/products/witt-3/pc30-27-1_triac_120v,no image available,RGW-3-PC30-27-1_TRIAC_120V,1530
Witt 4,https://rbw.com/products/witt-4/pc24-27-1_triac_120v,no image available,RGW-4-PC24-27-1_TRIAC_120V,1530
Witt 5,https://rbw.com/products/witt-5/pc36-27-1_triac_120v,no image available,RGW-5-PC36-27-1_TRIAC_120V,1530
