name,description,link_url,image_url,manufacturer_id
60″W Estrella 24 LT Three Tier Chandelier | 153264,"Exquisite grace and delicate beauty are blended to create a distinctive, elegant Grand Chandelier. A total of 24 White faux candlelights, each perched on a bobeche and scrolled arm, adorn three tiers of this luxurious chandelier. The decorative accents and hardware are offered in a warm Mahogany Bronze finish. Perfect for a large entryway, lobby, banquet hall or conference room, this chandelier is available in a variety of finishes, styles, sizes and dimmable energy efficient lamping options such s LED. Custom crafted in the USA, Estrella is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-estrella-24-lt-three-tier-chandelier-153264-2/,https://2ndave.com/wp-content/uploads/2022/12/153264.jpg,1261
60″W Fantasy 24 LT Two Tier Chandelier | 118829,"Make your lighting Fantasy come true with grandiose charm evoked from this magnificent chandelier. With a width of five feet, this two-tiered fixture features 24 Sahara Taupe Idalight Cylindres perched on arms with ballpoints while delivering gorgeous ambient illumination. The hardware and frame are featured in a Black finish. Handmade in our manufacturing facility in Yorkville, NY, this dazzling chandelier is available in custom sizes, styles and colors, as well as dimmable energy efficient lamping options such as LED. The 60-inch wide fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-fantasy-24-lt-two-tier-chandelier-118829/,https://2ndave.com/wp-content/uploads/2022/12/118829.jpg,1261
60″W Farmington 8 LT Chandelier | 149629,"Designed with sophisticated architectural styling, this distinctive lighting centerpiece will enhance both formal and casual interior settings. 6 Statuario Idalight Cylindres, each with a customer-supplied, medium base lamp for ambient uplighting and another for functional downlighting, embrace the round crosshatch frame in a warm Cafe Noir finish. Perfect for lobbies, conference rooms, foyers and large spaces, the chandelier is handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom styles, colors, sizes and dimmable energy efficient lamping options such as LED are available. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-farmington-8-lt-chandelier-149629/,https://2ndave.com/wp-content/uploads/2022/12/149629.jpg,1261
60″W Flowing Cross Inverted Pendant | 119164,"A metallic hammock-inspired frame cradles an inverted Provostone Idalight bowl shaped diffuser which is trimmed with a geometric border. The decorative frame, accents and hardware are featured in a Coffee Rust finish while the shade is embraced by unobtrusive aircraft cables. The 5-foot wide pendant is handmade by highly skilled artisans in our manufacturing facility in Yorkville, NY. This fixture is offered in custom sizes, styles and finishes. Dimmable energy efficient lamping options such as LED are available. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-flowing-cross-inverted-pendant-119164/,https://2ndave.com/wp-content/uploads/2022/12/119164.jpg,1261
60″W French Elegance 16 LT Chandelier | 169173,"A luxurious chandelier design comes to light with elegance and glamour. 16 Handpainted Antique Silver faux candlelights are perched on bobeches, which are embraced by exquisite curved Acanthus leaf accented arms with Crystal Pendalogues and decorative scrollwork. The decorative accents, frame and hardware are featured in an Antique Silver finish. This lovely ceiling fixture is handcrafted in our facility in Yorkville, New York. Custom sizes, styles, colors and dimmable energy efficient lamping options such as LED are available. The chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-french-elegance-16-lt-chandelier-169173/,https://2ndave.com/wp-content/uploads/2022/12/169173.jpg,1261
60″W French Horn 17 LT Chandelier | 150568,"Inspired by the unique curved coil design of the classic instrument, the French Horn chandelier orchestrates a look that is playful yet elegant. 17 Stunning Statuario Idalight luminaires are perched on the swirling steel tube that is hand finished in a warm Oil Rubbed Bronze. Delightful design harmony is captured by the skillful hands of artisans our 180,000 square foot manufacturing facility in Yorkville, New York. This fixture is available in custom sizes, finishes and styles. Dimmable energy efficient lamping options are available. The chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-french-horn-17-lt-chandelier-150568/,https://2ndave.com/wp-content/uploads/2022/12/150568.jpg,1261
60″W French Horn 17 LT Chandelier | 175259,"Inspired by the unique curved coil design of the classic instrument, the French Horn chandelier orchestrates a look that is playful yet elegant. 17 Stunning Statuario Idalight luminaires are perched on the swirling steel tube that is hand finished in a warm Oil Rubbed Bronze. Delightful design harmony is captured by the skillful hands of artisans our 180,000 square foot manufacturing facility in Yorkville, New York. This fixture is available in custom sizes, finishes and styles. Dimmable energy efficient lamping options are available. The chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-french-horn-17-lt-chandelier-175259/,https://2ndave.com/wp-content/uploads/2022/12/175259.jpg,1261
60″W Galen 12 LT Chandelier | 173745,"An openwork structure, featuring an elaborate frame custom built of Solid Steel, is adorned with 12 Contrail Mist Idalight Cylindres that illuminate from this unique pendant’s arms. The hardware is featured in a Blackwash finish. Efficient 4-watt LED lamps deliver energy savings, minimal maintenance and long life. The fixture is custom crafted by highly skilled artisans in the USA. Custom colors, styles, sizes and dimmable energy efficient lamping options such as LED are available. This chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-galen-12-lt-chandelier-173745/,https://2ndave.com/wp-content/uploads/2022/12/173745.jpg,1261
60″W Galen 12 Lt Two Tier Chandelier | 115096,"For a sophisticated transitional look, this cool elaborate fixture is ideal for foyers, lobbies, and other large spaces to be used in residential, hospitality, retail and commercial applications. Twelve Mouth Blown Frosted Glass shades are supported by this intricate Wrought Iron finished steel structure. Handcrafted in the USA by highly skilled artisans. Energy efficient lamping options available. UL Listed for damp locations.",https://2ndave.com/product/60w-galen-12-lt-two-tier-chandelier-115096/,https://2ndave.com/wp-content/uploads/2023/02/115096.jpg,1261
60″W Galen 12 LT Two Tier Chandelier | 161802,"An openwork structure, featuring an elaborate frame custom built of Solid Steel, is adorned with 12 White Alabaster acrylic cylindrical accents that illuminate from the arms of this unique chandelier. The hardware is featured in a Black Textured finish and custom crafted in the USA. Custom colors, styles, sizes and dimmable energy efficient lamping options are available.",https://2ndave.com/product/60w-galen-12-lt-two-tier-chandelier-161802/,https://2ndave.com/wp-content/uploads/2022/12/161802.jpg,1261
